FID	id	left	top	right	bottom	NUMPOINTS	QuadradoDoNumPonto				
201	34	-69856,0071	-21015,7346	-64856,0071	-26015,7346	1	1				
202	224	-34856,0071	-96015,7346	-29856,0071	-101015,7346	0	0				
203	116	-54856,0071	-56015,7346	-49856,0071	-61015,7346	1	1				
204	409	5143,9929	-21015,7346	10143,9929	-26015,7346	6	36				
205	266	-24856,0071	-56015,7346	-19856,0071	-61015,7346	0	0				
206	229	-29856,0071	3984,2654	-24856,0071	-1015,7346	1	1				
207	64	-64856,0071	-46015,7346	-59856,0071	-51015,7346	5	25				
208	373	-4856,0071	-91015,7346	143,9929	-96015,7346	0	0				
209	399	143,9929	-96015,7346	5143,9929	-101015,7346	0	0				
210	302	-14856,0071	13984,2654	-9856,0071	8984,2654	3	9				
211	146	-49856,0071	-81015,7346	-44856,0071	-86015,7346	3	9				
212	411	5143,9929	-31015,7346	10143,9929	-36015,7346	0	0				
213	432	10143,9929	-11015,7346	15143,9929	-16015,7346	1	1				
214	188	-39856,0071	-41015,7346	-34856,0071	-46015,7346	4	16				
215	90	-59856,0071	-51015,7346	-54856,0071	-56015,7346	13	169				
216	337	-9856,0071	-36015,7346	-4856,0071	-41015,7346	0	0				
217	455	15143,9929	-1015,7346	20143,9929	-6015,7346	0	0				
218	119	-54856,0071	-71015,7346	-49856,0071	-76015,7346	5	25				
219	403	5143,9929	8984,2654	10143,9929	3984,2654	0	0				
220	307	-14856,0071	-11015,7346	-9856,0071	-16015,7346	2	4				
221	133	-49856,0071	-16015,7346	-44856,0071	-21015,7346	2	4				
222	320	-14856,0071	-76015,7346	-9856,0071	-81015,7346	1	1				
223	340	-9856,0071	-51015,7346	-4856,0071	-56015,7346	0	0				
224	141	-49856,0071	-56015,7346	-44856,0071	-61015,7346	2	4				
225	239	-29856,0071	-46015,7346	-24856,0071	-51015,7346	0	0				
226	295	-19856,0071	-76015,7346	-14856,0071	-81015,7346	0	0				
227	276	-19856,0071	18984,2654	-14856,0071	13984,2654	0	0				
228	355	-4856,0071	-1015,7346	143,9929	-6015,7346	0	0				
229	335	-9856,0071	-26015,7346	-4856,0071	-31015,7346	3	9				
230	205	-34856,0071	-1015,7346	-29856,0071	-6015,7346	7	49				
231	290	-19856,0071	-51015,7346	-14856,0071	-56015,7346	0	0				
232	47	-69856,0071	-86015,7346	-64856,0071	-91015,7346	1	1				
233	140	-49856,0071	-51015,7346	-44856,0071	-56015,7346	9	81				
234	381	143,9929	-6015,7346	5143,9929	-11015,7346	1	1				
235	115	-54856,0071	-51015,7346	-49856,0071	-56015,7346	6	36				
236	22	-74856,0071	-86015,7346	-69856,0071	-91015,7346	0	0				
237	309	-14856,0071	-21015,7346	-9856,0071	-26015,7346	3	9				
238	322	-14856,0071	-86015,7346	-9856,0071	-91015,7346	0	0				
239	457	15143,9929	-11015,7346	20143,9929	-16015,7346	0	0				
240	303	-14856,0071	8984,2654	-9856,0071	3984,2654	3	9				
241	196	-39856,0071	-81015,7346	-34856,0071	-86015,7346	1	1				
242	382	143,9929	-11015,7346	5143,9929	-16015,7346	3	9				
243	296	-19856,0071	-81015,7346	-14856,0071	-86015,7346	0	0				
244	404	5143,9929	3984,2654	10143,9929	-1015,7346	1	1				
245	134	-49856,0071	-21015,7346	-44856,0071	-26015,7346	8	64				
246	46	-69856,0071	-81015,7346	-64856,0071	-86015,7346	4	16				
247	329	-9856,0071	3984,2654	-4856,0071	-1015,7346	0	0				
248	65	-64856,0071	-51015,7346	-59856,0071	-56015,7346	7	49				
249	214	-34856,0071	-46015,7346	-29856,0071	-51015,7346	1	1				
250	158	-44856,0071	-16015,7346	-39856,0071	-21015,7346	21	441				
251	334	-9856,0071	-21015,7346	-4856,0071	-26015,7346	18	324				
252	193	-39856,0071	-66015,7346	-34856,0071	-71015,7346	2	4				
253	97	-59856,0071	-86015,7346	-54856,0071	-91015,7346	1	1				
254	454	15143,9929	3984,2654	20143,9929	-1015,7346	0	0				
255	98	-59856,0071	-91015,7346	-54856,0071	-96015,7346	0	0				
256	173	-44856,0071	-91015,7346	-39856,0071	-96015,7346	0	0				
257	252	-24856,0071	13984,2654	-19856,0071	8984,2654	0	0				
258	68	-64856,0071	-66015,7346	-59856,0071	-71015,7346	0	0				
259	319	-14856,0071	-71015,7346	-9856,0071	-76015,7346	0	0				
260	317	-14856,0071	-61015,7346	-9856,0071	-66015,7346	0	0				
261	86	-59856,0071	-31015,7346	-54856,0071	-36015,7346	1	1				
262	165	-44856,0071	-51015,7346	-39856,0071	-56015,7346	8	64				
263	203	-34856,0071	8984,2654	-29856,0071	3984,2654	4	16				
264	72	-64856,0071	-86015,7346	-59856,0071	-91015,7346	0	0				
265	92	-59856,0071	-61015,7346	-54856,0071	-66015,7346	2	4				
266	174	-44856,0071	-96015,7346	-39856,0071	-101015,7346	0	0				
267	356	-4856,0071	-6015,7346	143,9929	-11015,7346	3	9				
268	191	-39856,0071	-56015,7346	-34856,0071	-61015,7346	3	9				
